Experiment,Label,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Pearson_mean,Pearson_std
Thresh (p=0.25),CogFluidComp_Unadj,11.769529362659238,8.881784197001252e-16,9.651690912789807,2.5121479338940403e-15,-0.10443579980211122,1.5515838457795457e-17,0.11365231681393942,1.5515838457795457e-17
Thresh (p=0.25),CogEarlyComp_Unadj,11.949241799696289,0.0,9.812529128961724,0.0,-0.07224485385843447,1.6725469333392293e-16,0.011283281548054538,5.4180610299455674e-17
Thresh (p=0.25),CogTotalComp_Unadj,14.450669840948965,1.9860273225978185e-15,11.984092928544202,0.0,-0.0619099348212799,0.0,0.09745851418918008,6.172886192835687e-16
Thresh (p=0.25),CogCrystalComp_Unadj,10.801834722738702,0.0,8.724457923545033,0.0,0.0001996839849255,0.0,0.09267953384436418,6.413527709205134e-15
Thresh (p=0.50),CogFluidComp_Unadj,11.506559354251712,0.0,9.244884270060234,0.0,-0.055633700272403594,7.757919228897728e-18,-0.0923456216852298,0.0
Thresh (p=0.50),CogEarlyComp_Unadj,10.522197139169789,0.0,8.573615969871206,0.0,0.0037148948893358,0.0,0.08097052711947175,9.437916079723832e-17
Thresh (p=0.50),CogTotalComp_Unadj,15.037520542053636,0.0,12.36133971740086,0.0,-0.0358602026829528,0.0,-0.0713168318805078,0.0
Thresh (p=0.50),CogCrystalComp_Unadj,9.565034428638665,0.0,7.617369550029093,0.0,-0.0069599667005961,0.0,-0.07849228905124139,1.0132377118078674e-14
Thresh (p=1.0),CogFluidComp_Unadj,11.466079398385332,0.0,9.224675179754191,0.0,-0.0482193483519579,0.0,0.16426251751019755,2.618455766672135e-16
Thresh (p=1.0),CogEarlyComp_Unadj,10.43961419726076,0.0,8.128736815650377,0.0,-0.00225916587653134,1.3421214279568176e-16,0.06694130432750328,1.9797504594200387e-15
Thresh (p=1.0),CogTotalComp_Unadj,12.927855423876398,1.9860273225978185e-15,10.383225667292834,0.0,-0.0048759953038033,0.0,-0.014009915797945841,2.1948536936833577e-16
Thresh (p=1.0),CogCrystalComp_Unadj,9.393961318014405,2.5121479338940403e-15,7.489218444327838,1.6616296724220897e-15,-0.08768966397369307,1.0682291383637863e-16,-0.11053178848932196,6.088854689467823e-17
Pooling (GMP Only),CogFluidComp_Unadj,11.194476179929149,0.0,9.153248707844504,1.2560739669470201e-15,0.0008519724532006,0.0,0.14512862017426725,6.206335383118183e-17
Pooling (GMP Only),CogEarlyComp_Unadj,11.285591700298824,0.0,9.327221862535554,0.0,-5.90864856451212e-05,0.0,0.0350362465300142,0.0
Pooling (GMP Only),CogTotalComp_Unadj,13.014477793352672,1.9860273225978185e-15,10.605955293644833,1.7763568394002505e-15,0.05503109075742302,4.654751537338637e-17,0.2823076196754524,6.798699777552591e-17
Pooling (GMP Only),CogCrystalComp_Unadj,10.75712755645019,0.0,8.62939427311857,0.0,0.0026358619730212,0.0,0.10364328033199496,1.368563798628543e-16
Pooling (GAP Only),CogFluidComp_Unadj,11.284646575251967,0.0,9.145757058249233,0.0,-0.015308930222703802,1.939479807224432e-18,0.12211574347035836,1.510704135196192e-16
Pooling (GAP Only),CogEarlyComp_Unadj,10.288176995643465,8.881784197001252e-16,8.710090527765944,0.0,-0.01456066070567344,8.999269903400626e-17,0.1113476338332348,1.345401605654148e-14
Pooling (GAP Only),CogTotalComp_Unadj,13.958655689467111,0.0,11.162207383264697,0.0,0.0028710722263545,0.0,0.17102992595216995,8.886119947416683e-17
Pooling (GAP Only),CogCrystalComp_Unadj,10.200890813749345,0.0,8.090096327836752,0.0,-0.0875087305893487,0.0,-0.037534325768568896,1.0073352666560547e-16
